Romance,Thriller,Fantasy,Science Fiction,Mystery,Non-Fiction,Historical,Horror,Adventure,Biography,ISBN
2,1,3,4,10,9,8,2,2,5,0679721886
4,5,6,10,2,4,7,3,9,1,0451187849
3,1,2,3,3,9,8,9,5,8,0451163966
3,8,10,8,5,4,2,4,2,4,0525946829
4,1,8,6,5,4,3,7,1,7,0671736825
0,9,0,2,4,5,3,6,6,1,0553292323
1,1,1,8,4,10,7,4,10,4,0671736809
0,5,3,2,5,1,7,0,8,7,0553481975
0,9,8,1,2,1,7,1,9,1,3404144031
0,6,1,9,4,4,2,2,2,5,0312986343
3,2,1,2,3,5,3,7,2,2,0446530077
2,7,3,0,1,9,1,2,5,7,0060965118
0,8,0,9,1,2,6,8,2,7,0451170385
8,9,6,3,3,3,5,3,4,8,0446527297
6,7,4,4,10,6,10,7,8,1,055357115X
2,1,9,6,1,1,1,3,0,1,0385128533
2,6,9,0,5,2,2,3,3,6,0345463153
2,7,7,10,6,1,4,5,9,3,0312991460
9,4,8,10,6,1,10,0,1,2,0385501412
10,1,10,2,9,10,10,8,3,8,006016848X
10,2,0,10,4,9,9,1,3,1,0671727583
1,2,4,3,1,10,9,1,5,6,0440212561
9,5,6,0,5,10,2,0,7,3,0821769278
9,7,9,10,3,3,9,3,5,8,0380815257
4,9,7,7,3,10,9,8,8,4,0486264645
5,4,2,10,7,8,3,8,8,6,0684801051
7,2,4,2,6,5,10,2,8,0,039914840X
9,2,10,9,10,6,2,2,1,8,0446532452
10,3,9,5,1,8,6,9,4,6,0140001409
3,9,6,1,6,3,3,0,2,4,1853265535
4,1,3,0,8,0,5,6,2,0,0743444965
6,2,9,5,5,3,10,5,10,9,042510107X
3,7,8,1,6,8,8,4,0,5,043936213X
7,0,1,0,4,1,9,9,3,0,0330303287
6,7,4,1,7,0,6,0,5,5,0330303279
4,1,1,8,4,4,6,5,1,10,0425187055
0,4,3,2,1,9,1,3,1,3,0312313195
2,8,6,10,2,7,8,6,5,3,0739307002
4,7,2,1,2,6,7,0,6,8,0689868278
2,2,7,3,7,4,2,3,3,7,0373250274
5,6,8,5,2,2,10,2,9,1,0312966806
0,10,9,0,3,2,4,8,7,8,0446692298
4,7,3,4,2,4,2,4,10,4,1551667436
5,8,0,9,5,0,5,1,7,10,0375724990
2,9,5,5,3,4,1,9,9,7,055357258X
9,6,9,5,6,0,4,6,0,1,0679731806
8,2,5,6,8,4,3,10,1,2,0553573136
4,10,1,3,0,3,6,2,9,7,0385302320
5,5,0,4,2,9,0,7,6,6,0140075623
9,9,9,3,10,5,8,2,8,3,0743217713
4,6,5,9,7,7,7,2,9,5,0060916338
6,8,9,9,3,4,7,0,5,3,006098824X
4,10,4,1,7,1,3,4,0,5,0670818577
1,4,5,10,7,8,5,4,3,1,0671541900
1,6,4,6,10,0,0,4,1,7,0312926294
2,0,1,9,9,6,5,7,6,9,0440235774
7,2,5,6,9,10,0,0,6,10,0061094404
2,2,4,10,5,1,2,5,2,4,0515133418
8,2,10,5,10,4,4,10,5,5,0140386335
0,10,8,4,0,7,6,6,4,0,0373825013
8,10,8,7,4,2,7,0,2,10,0373825021
6,3,6,10,4,5,6,9,6,6,0451157443
6,10,6,2,2,6,1,1,2,3,0060175680
5,7,9,9,6,3,1,1,3,5,0671741209
2,5,4,4,1,7,4,10,1,6,0671880314
8,8,0,6,8,5,0,1,3,3,0670860743
1,7,1,2,3,8,9,0,7,4,0380977729
6,7,4,7,9,10,7,8,1,2,0812967240
0,3,4,10,0,7,1,0,1,4,0064404773
8,8,1,1,2,6,10,2,0,5,0060931752
2,0,3,0,0,1,9,7,1,10,0060937866
1,10,10,9,9,7,5,10,3,2,0385247958
0,10,2,8,4,5,4,0,9,0,0151009988
3,2,10,7,6,10,6,7,9,6,0440127793
9,1,3,10,5,2,2,5,0,0,014230218X
4,0,9,7,1,5,9,9,4,9,0385502532
3,0,2,3,1,1,1,10,0,9,0743236742
1,5,2,9,4,0,7,3,8,3,0060192704
1,2,4,9,5,6,3,6,9,2,0553263226
6,3,7,8,6,7,7,1,8,5,0671525425
10,3,4,9,4,6,8,6,8,3,0380763435
9,9,3,5,7,8,0,0,7,10,0060934425
6,8,10,2,9,4,2,4,9,0,0425179885
10,3,5,1,6,7,0,3,10,3,0020442203
4,3,8,6,1,0,8,0,5,1,0553204572
3,5,4,10,5,2,4,1,6,2,0671868691
0,7,7,2,6,8,7,2,1,9,0671793543
6,6,8,4,3,7,3,3,1,0,0679722637
3,6,8,8,9,0,4,6,6,9,0375414053
5,10,9,3,2,8,9,3,7,0,0312868855
6,5,0,3,4,10,7,3,2,1,0441001971
3,10,9,3,9,4,6,8,1,4,0684810395
10,9,8,2,0,1,5,4,0,0,0399143874
10,3,3,5,5,9,5,0,9,8,0440222842
10,6,6,10,6,1,1,5,6,2,3499134039
3,2,6,6,3,6,4,0,9,3,0553379011
6,1,1,0,1,9,7,10,7,7,8476021844
0,0,9,3,5,7,1,2,5,9,0316789976
3,1,6,3,7,7,6,9,8,3,042518109X
6,9,9,0,3,1,8,4,2,3,0061097861
5,9,0,6,7,6,6,8,3,6,0553213237
8,4,1,4,3,7,4,8,8,2,0838434762
9,5,5,3,10,9,2,0,6,4,0140434003
9,6,0,7,2,6,2,2,9,8,0553577905
1,3,5,2,9,9,6,6,4,2,0525945814
1,3,3,10,7,7,4,5,7,0,0375814116
4,3,3,10,1,9,0,5,6,4,0156005891
7,8,10,10,1,10,3,10,8,4,076790592X
2,5,2,4,2,5,9,4,8,2,0060652934
5,7,6,5,1,6,7,0,8,3,0446360589
7,9,6,9,6,1,0,3,1,7,0385315090
9,6,7,10,5,0,8,5,9,0,0385311923
0,7,5,7,7,10,7,9,6,6,0385297661
9,3,8,1,10,8,9,2,1,3,0446802204
4,1,0,9,10,4,8,4,10,9,055327032X
8,9,5,2,3,3,0,2,2,0,0374503486
8,10,0,8,0,1,1,5,6,10,8401377250
0,2,1,7,8,1,1,9,8,3,0140386351
4,10,8,5,9,8,8,6,9,8,0553580221
4,4,7,9,3,8,6,6,2,3,0064471047
6,10,10,4,2,0,6,5,9,6,0786868430
1,3,1,7,6,0,1,1,3,2,0345368754
0,1,10,8,0,8,6,1,1,4,0553213164
4,3,9,9,2,3,9,3,1,4,0375756981
4,4,10,10,9,0,5,10,1,6,0140258795
3,4,4,4,1,4,2,3,1,3,0312203632
8,7,10,2,0,0,5,2,3,0,0060988649
7,0,4,5,1,6,6,0,3,3,0380725711
4,0,0,6,8,0,1,5,5,1,0380784157
8,3,6,5,10,10,2,7,6,8,0595256368
2,0,1,10,0,10,4,9,1,2,0061099708
7,9,4,3,4,9,5,6,8,0,0425179559
3,8,4,7,0,3,8,0,0,3,0425152901
2,6,10,2,0,10,9,1,9,3,0425141551
0,0,7,6,7,3,5,2,10,7,0440200040
3,2,3,5,10,6,6,3,7,6,0375758208
1,7,8,4,3,3,3,5,10,3,0452281881
6,6,4,4,9,7,6,6,5,6,0520007840
6,9,1,9,1,9,6,9,6,6,0679405135
4,0,1,8,7,7,9,0,5,8,0689817851
7,2,3,2,5,8,7,9,3,1,0970335555
7,7,10,5,7,8,0,8,1,0,0061031550
7,7,10,3,7,6,1,4,9,3,0060927216
2,0,4,9,7,8,6,10,0,0,0374172897
0,1,0,3,9,8,3,3,6,10,0380730774
8,6,0,0,3,3,0,5,9,1,039480967X
10,4,7,2,8,6,8,0,4,2,0394800389
3,3,10,6,9,10,7,10,9,4,0688177867
9,6,2,2,2,3,5,4,7,4,0767916069
10,4,9,1,10,10,4,6,1,5,0689832133
6,4,8,3,9,0,7,7,6,7,044022103X
1,2,8,0,7,7,6,10,4,3,0679751750
9,9,9,9,5,10,0,4,3,3,0451180232
6,8,7,10,7,4,5,1,10,2,0517693119
4,1,2,3,5,4,9,3,1,10,0399145702
4,4,10,6,0,3,10,4,7,7,0590483447
0,4,9,0,0,1,1,8,3,2,0451137965
10,0,1,5,8,4,3,4,8,6,0425128164
7,3,10,7,5,4,6,5,2,4,0425107469
8,6,3,6,4,10,1,5,6,7,042510687X
5,7,6,1,5,8,5,3,6,2,0553262645
4,0,9,2,7,8,8,9,1,3,0553573616
4,2,10,0,5,9,1,8,0,10,0671039962
8,6,10,9,1,5,7,1,4,10,0671002031
5,2,1,10,5,2,1,0,7,0,0142000221
4,10,5,10,2,6,1,6,1,4,0060910690
6,10,10,2,10,3,0,2,8,9,0140041796
4,7,1,2,6,9,3,8,6,10,0812551478
0,3,9,10,5,5,9,5,4,2,0140074511
1,2,8,2,2,0,1,10,2,1,0864427557
7,5,6,0,5,1,5,2,6,2,8420725943
8,2,6,3,7,1,7,8,7,5,8439702469
9,0,6,0,6,1,7,1,2,2,034910171X
0,4,4,9,4,8,5,5,2,4,0440442508
9,6,2,1,4,2,4,8,10,9,0064400565
0,3,9,4,1,1,0,7,1,2,0439049962
1,3,0,2,4,9,0,3,5,3,0345307615
6,6,5,8,1,9,7,7,10,9,0345315723
10,3,5,10,5,4,0,2,6,7,0375758232
1,2,3,10,4,2,4,7,7,1,0375758275
5,3,8,9,1,7,0,10,5,10,0451172817
10,9,0,1,2,8,4,9,9,1,0671886665
9,4,4,0,2,4,8,9,0,7,1583224890
0,8,5,0,7,4,6,6,6,5,0440120500
10,7,8,1,6,1,5,1,9,5,0060511508
1,0,6,2,3,5,4,3,8,5,0425130711
5,1,5,6,7,7,8,9,10,2,0451168089
9,6,6,0,7,3,4,5,2,4,5553465214
9,4,0,2,2,0,6,0,6,3,1591820065
8,6,4,6,8,9,5,0,5,0,0345418263
3,7,4,4,9,10,7,7,0,4,1931514925
4,7,0,6,6,8,1,2,3,0,0671876821
6,9,2,2,2,7,8,9,1,9,0764226312
9,0,8,5,8,5,1,0,7,2,1582341400
0,7,0,7,0,8,8,8,2,3,0671887963
4,5,8,10,3,5,0,1,7,3,0452273404
9,6,3,8,8,3,7,5,0,6,0440414857
0,2,7,8,2,0,0,6,4,0,0553260960
5,5,3,6,6,8,0,4,9,2,0553801376
6,3,3,0,0,9,1,1,0,7,037582233X
5,5,9,9,8,4,3,10,5,7,0671011367
0,6,7,8,10,7,6,2,1,2,0373289766
3,3,5,6,3,9,5,8,5,2,2253137243
0,10,9,9,4,9,9,2,7,9,0345456335
0,10,1,2,2,7,4,7,10,10,0060512822
5,1,10,3,8,3,4,4,9,7,0374527229
5,9,6,5,4,4,2,6,9,4,0312989385
6,1,8,7,4,1,5,7,6,7,014070714X
3,2,6,1,4,6,0,3,1,5,0330253603
0,6,2,0,7,6,1,6,2,8,0440200563
7,4,6,2,0,0,10,1,7,0,0060393823
10,4,8,8,1,6,10,0,2,5,0671793128
8,9,1,6,3,1,2,5,9,8,0671528068
7,9,10,8,3,3,8,7,1,7,0553278002
0,8,8,7,10,4,4,2,4,3,080411109X
0,8,9,3,2,5,0,4,6,1,0451206460
9,8,5,1,7,7,0,0,0,3,0552999954
3,7,0,9,2,10,0,8,9,8,0140287248
6,7,0,4,1,0,2,6,0,10,0553089218
1,1,3,2,2,9,4,2,10,6,0553213172
4,3,2,3,1,0,2,10,1,0,0671722905
0,1,8,4,8,7,10,5,0,9,0060931418
4,0,6,9,10,7,7,6,1,4,0515136557
3,4,9,8,3,7,7,1,5,4,3423201509
1,9,3,6,0,8,9,0,4,6,0140089225
7,1,3,1,3,5,5,1,10,3,0743448642
3,0,1,2,10,4,10,7,5,2,0385319525
5,6,5,9,5,0,2,6,3,3,0743400453
6,8,10,1,8,2,5,3,0,8,0440221919
10,5,7,1,6,5,1,1,3,3,0316287555
2,7,6,1,2,9,8,4,1,2,3442427983
7,3,1,1,5,7,6,3,1,8,0440213428
3,8,4,10,10,6,4,1,5,6,0312974256
10,5,2,9,7,2,4,8,10,4,0070504253
6,10,6,4,1,4,6,6,3,0,0446608815
5,2,10,4,3,1,6,4,6,8,0515128546
3,4,8,9,10,3,4,4,7,3,0399149392
3,6,10,4,5,5,5,9,4,4,0140440224
8,7,3,6,7,8,4,2,3,9,0316769495
5,9,10,4,8,10,10,2,1,5,0142003727
6,4,0,2,2,3,9,5,4,0,0345422317
5,8,10,0,7,7,2,8,10,10,0671722891
7,2,9,4,2,4,8,3,5,2,067153873X
2,4,7,7,2,7,10,7,2,9,0786862564
9,1,9,1,8,6,5,6,7,0,0451526929
7,2,2,5,3,3,3,9,8,7,0446517399
2,0,0,0,3,5,3,10,10,2,051513306X
7,7,5,8,9,0,7,5,0,3,0425104346
4,6,7,8,5,9,8,3,7,2,0451210646
3,9,3,5,8,5,0,4,8,4,0440237556
5,2,7,9,10,3,3,10,4,9,0446520802
8,7,6,4,8,8,9,9,1,3,0425168468
7,0,4,7,1,1,7,9,8,6,0805064222
7,4,0,3,1,2,2,8,9,3,0425092917
1,2,2,6,7,10,5,3,5,10,0451173317
0,9,7,0,4,1,5,8,4,3,0451160525
1,2,5,7,7,4,4,9,2,6,0030448565
5,0,3,5,10,5,10,2,5,9,0553210211
5,8,8,1,3,8,3,7,9,2,0553560441
2,8,10,9,7,0,9,1,2,10,0553297422
1,2,7,10,10,5,6,9,9,5,0449217264
0,10,2,0,9,8,8,4,3,8,0140276904
8,2,4,2,9,1,0,9,1,7,1558745157
10,7,2,6,6,1,8,2,1,2,0679445358
1,7,4,2,4,10,10,7,6,5,0440118700
0,9,0,0,9,7,7,6,5,3,0380710897
0,8,0,3,2,6,4,4,3,0,006050918X
4,3,9,7,1,7,0,3,2,4,0440236169
4,4,3,7,2,3,0,6,0,1,0061044431
10,6,0,10,2,5,5,5,10,1,0061057894
1,5,9,4,6,6,4,7,9,5,0060936231
4,3,6,3,4,4,0,0,2,10,1573220663
2,1,1,5,0,5,4,5,4,6,0743255224
0,2,5,0,10,10,6,3,2,9,0399146113
8,0,7,0,4,9,7,5,6,10,0446675059
7,5,10,5,10,5,4,7,1,6,0375411550
3,0,4,2,3,6,4,3,0,5,0679774025
10,9,5,6,0,3,8,9,5,1,0064400018
3,5,3,9,6,2,5,3,2,2,0380698714
1,10,2,9,0,2,8,3,2,7,072324216X
0,4,0,6,4,1,0,10,6,0,0440430712
2,10,5,5,6,10,10,0,6,1,0380750260
5,7,4,9,2,10,7,7,3,7,0345404769
4,10,4,2,6,10,10,8,8,0,0425158594
0,9,10,4,0,3,0,1,1,3,0099282194
7,1,8,8,1,0,9,9,8,1,0448095017
7,2,0,10,0,9,1,6,5,10,1558745017
1,3,1,0,2,3,9,4,4,6,0385319207
9,7,8,6,4,8,7,9,8,9,0385323905
7,5,3,8,8,9,9,8,9,2,157322930X
10,2,10,5,5,5,4,4,1,6,0156008661
3,2,7,3,10,3,7,0,8,6,0425163407
1,10,5,7,10,4,5,9,7,5,0425180905
8,8,8,5,8,2,4,1,7,10,0743410181
3,5,5,4,0,10,6,9,7,0,0671744623
9,6,3,5,8,4,7,4,1,3,038073320X
1,6,6,2,6,0,0,8,5,4,0373483872
5,5,0,4,8,3,2,0,1,2,0330294911
3,6,5,10,7,8,5,6,3,1,0451457935
8,8,3,2,9,10,5,2,0,3,0397300441
0,1,2,7,9,3,3,9,8,6,0399150706
1,2,3,3,9,7,9,9,5,2,0553212737
10,8,9,7,8,4,2,3,4,8,0446531413
8,2,6,5,3,4,9,1,10,6,0061032476
3,1,10,5,10,1,9,1,6,0,0140366709
6,9,4,0,5,6,0,8,6,0,0684849690
2,4,3,1,0,3,6,10,3,8,0425170500
7,7,4,0,8,1,5,9,4,9,0425174344
7,10,2,5,5,9,2,6,10,3,0671027581
4,8,5,9,3,7,8,9,4,1,1573229725
5,10,7,4,0,7,8,0,7,9,0786889306
1,3,1,1,9,2,7,3,6,9,0671007637
2,9,10,2,1,5,5,0,6,3,0671534734
10,2,7,1,8,7,7,2,3,1,0380599236
1,3,5,4,0,9,0,5,2,2,0440224780
6,0,0,9,2,7,0,9,3,8,0446671002
3,9,7,6,2,6,6,9,2,1,0590453653
8,0,6,3,1,1,7,6,6,4,0439531640
9,7,1,1,4,0,5,3,5,6,0385509510
2,10,7,6,0,5,6,10,3,1,0804115761
9,8,6,0,7,2,3,4,0,5,0449147231
9,5,1,10,9,5,7,5,3,3,0316152196
8,5,7,7,6,2,9,0,4,9,0312185863
9,1,9,1,6,10,2,7,8,7,0373240007
5,4,2,2,6,4,5,5,8,0,0345430514
7,9,4,5,5,0,2,5,10,10,0061097853
8,5,5,0,8,3,1,0,2,2,0140390227
4,0,6,0,3,5,0,6,9,6,0671867091
2,3,5,10,6,3,9,10,8,8,0553207083
8,9,5,1,1,10,3,8,2,5,0425147517
1,0,4,7,9,9,1,9,8,7,0345386108
2,0,3,7,2,9,1,6,3,5,0140287442
4,1,9,1,8,10,9,1,7,7,038072118X
0,0,3,1,0,8,2,0,1,7,0553576798
4,10,6,5,0,5,10,6,3,7,0670894605
7,6,10,1,5,5,6,5,1,7,038550117X
3,8,7,2,2,7,1,8,3,5,0877734518
2,2,2,10,9,1,7,8,7,9,0061008079
2,6,10,9,1,3,5,10,4,8,0553255762
9,3,4,3,7,7,2,0,5,1,0446611921
1,2,7,2,6,9,9,8,7,0,0679777423
6,6,7,9,4,9,8,8,7,5,0670853097
5,0,5,3,3,1,10,3,4,4,0517703963
4,3,0,9,7,2,1,8,6,8,0446522597
1,8,9,8,10,8,9,9,3,9,0375507876
2,5,2,10,8,2,1,7,5,7,0375502912
6,2,7,9,0,0,9,7,8,9,0440234700
5,4,1,10,8,5,7,8,8,7,0743237196
9,7,2,2,1,0,3,1,1,10,0553284363
10,4,3,0,8,3,4,6,1,7,0451203771
10,1,10,9,4,1,1,3,3,7,0671528203
5,9,7,6,9,3,1,8,1,0,0786867647
7,9,8,0,6,1,5,10,4,0,0425097722
1,1,9,9,5,10,0,10,3,9,0151002290
10,4,1,1,6,6,5,0,2,8,0385333412
9,0,1,7,6,8,9,3,3,6,1853261912
0,9,8,1,0,6,5,2,0,4,0060084405
9,3,4,0,0,4,5,4,1,8,0345445848
4,10,10,4,9,8,2,4,4,1,0375504036
10,3,10,10,1,4,9,1,9,8,0140430016
9,5,7,8,7,4,4,5,0,10,0671734334
7,1,5,8,2,1,9,4,10,8,0399132007
5,7,7,6,4,1,9,9,4,6,0385501560
6,10,1,6,5,6,10,7,3,0,0671507036
7,7,2,2,4,2,4,7,0,1,0140242058
1,3,8,1,10,8,6,9,7,0,0385316917
4,8,3,1,5,1,2,7,2,1,0385333463
5,2,0,2,5,2,8,6,4,1,0440221501
8,4,6,8,3,8,0,5,1,7,0440201926
4,2,1,7,6,8,7,10,3,1,0688141838
1,1,10,5,6,5,1,3,2,10,0440176484
3,4,6,8,10,1,7,2,8,9,0446612731
3,2,9,5,9,8,6,3,2,9,0345368991
3,2,2,8,3,8,9,4,6,4,0451202902
0,1,10,4,5,6,1,9,8,5,0553574574
1,1,2,0,8,9,10,3,4,6,0452280397
0,2,2,1,7,4,0,1,0,5,0060163704
8,10,6,4,2,7,9,3,8,4,0140282777
5,4,9,10,6,6,0,1,6,7,059045370X
3,5,10,9,2,6,10,2,10,6,0006742939
10,10,7,2,1,5,3,7,1,3,0688163165
1,1,1,0,3,1,8,8,10,10,0440212359
6,5,2,6,0,8,3,5,5,10,0671507303
2,3,10,9,2,5,0,7,7,8,006104444X
5,0,2,0,4,2,1,2,8,10,0345368436
7,2,10,1,4,0,3,7,0,4,0515093203
3,5,6,8,0,10,9,3,5,9,0440411394
6,6,7,9,7,7,7,7,5,8,067166493X
2,5,4,7,3,3,9,10,9,4,0449206440
10,5,10,3,1,1,2,1,0,7,0553100890
4,9,0,8,7,3,7,9,6,10,0446522252
10,6,0,5,3,9,9,9,10,1,0449225046
9,6,8,4,7,4,6,6,8,2,0312989474
0,1,5,9,9,8,2,9,1,10,0553273817
0,1,2,6,1,4,1,6,9,7,0140280499
7,7,9,8,0,0,9,1,10,5,0345338588
0,4,4,3,10,4,0,10,10,5,0061097101
6,7,1,6,5,8,7,10,3,8,0140622306
0,10,5,7,10,10,3,1,10,1,0451159497
9,0,4,5,3,3,4,4,8,7,0425155404
8,2,2,0,9,5,3,10,7,1,0452262933
10,1,6,4,0,6,6,9,5,3,0679740678
7,10,1,1,1,2,5,0,10,1,0060294884
9,1,0,2,9,6,0,6,4,8,067187098X
1,0,8,7,9,5,4,7,7,4,0064400980
6,0,3,1,9,2,0,10,10,1,0375411070
0,7,3,2,0,1,2,2,5,9,0802135226
7,5,1,1,6,0,0,6,8,4,0375712925
10,0,4,10,0,9,8,3,8,1,0440178002
6,1,3,5,1,1,1,2,4,8,0767905202
5,8,9,4,10,5,9,7,2,1,0743225082
2,8,5,9,3,9,2,1,3,8,0425184943
3,4,7,1,10,2,5,6,3,0,0394589955
6,8,0,0,0,9,6,10,8,2,0312120001
7,8,2,2,0,1,6,2,6,4,0060740450
9,7,4,2,8,6,4,6,10,9,0345377648
8,4,6,10,8,0,3,0,7,2,0062511173
1,3,10,2,10,4,7,9,7,10,0064403688
6,7,4,9,9,10,10,5,7,0,0374480095
5,5,10,4,3,0,10,9,10,7,006251184X
5,2,2,5,6,7,4,9,5,0,0140361219
5,8,9,3,9,0,10,8,3,1,0849916836
0,2,6,10,9,1,8,10,1,4,3453210719
7,9,7,2,1,8,2,7,1,2,0140620850
0,10,5,6,3,0,2,8,4,5,0553277537
3,0,4,4,4,5,10,1,0,1,0425150143
9,5,4,4,5,9,6,8,6,1,0061096113
5,8,6,1,2,7,10,8,3,8,0446609404
1,10,4,10,1,10,0,4,1,6,0374522928
7,1,6,3,0,10,2,10,0,4,1573221937
7,0,8,2,4,8,4,8,9,7,0451523652
6,10,0,3,8,9,7,3,0,9,1870041364
3,2,5,10,4,4,1,2,10,5,0373835876
1,3,1,8,2,9,9,5,0,10,037383599X
9,2,7,4,7,1,6,8,6,2,0312983301
6,7,0,2,4,5,2,3,4,2,0440236606
3,4,1,9,8,9,7,5,9,10,0373790481
2,10,1,6,7,9,0,5,6,8,0373483694
2,1,4,9,0,5,8,9,8,6,0821767623
10,6,7,9,1,5,4,4,2,2,0553583913
5,9,9,6,0,2,0,9,2,4,0804119538
8,2,9,9,8,0,5,8,4,10,0886778581
9,1,4,0,8,9,9,8,5,10,0375704051
8,2,3,5,3,0,6,4,7,8,038079537X
4,7,0,0,6,5,4,4,8,0,0440219779
7,1,6,5,9,1,2,3,6,7,0671642561
10,1,7,10,8,6,0,5,7,4,0671443283
1,4,7,1,0,3,3,8,2,3,0671729438
2,1,3,7,0,7,7,2,9,9,0380718758
5,3,0,0,4,7,0,1,6,7,0028604199
2,10,7,0,8,1,1,3,9,2,0671526022
3,5,6,4,1,2,9,10,2,4,0553138758
10,4,3,7,5,5,0,5,2,5,0060928069
9,10,5,1,0,10,2,4,3,6,0875420087
3,7,6,9,8,0,4,3,5,0,0140167153
5,0,0,7,1,9,5,5,5,7,0451204158
3,2,5,3,1,5,9,4,10,8,0345373707
10,5,2,10,4,9,7,8,7,2,0440180090
8,2,7,9,8,6,3,9,8,2,0670839531
2,1,9,2,0,3,7,4,1,2,0553578529
0,1,0,1,2,0,10,8,9,4,0375752501
7,4,7,6,3,6,5,2,8,9,0440226236
8,4,7,6,8,6,3,3,10,7,0312145357
5,8,9,6,6,3,2,7,6,3,0375502947
3,0,10,6,0,9,9,3,10,2,0743206061
10,2,0,3,0,7,0,5,6,9,0553802453
1,3,10,2,8,6,1,10,5,8,0440224071
2,10,5,2,2,3,8,10,7,0,068480378X
10,0,6,2,10,6,8,2,2,1,0553275100
9,0,8,5,5,7,10,4,8,10,0671660632
4,1,5,8,2,9,3,9,10,7,0345323750
5,6,6,3,5,8,2,7,6,3,3426618303
9,2,6,9,8,9,2,9,8,7,0439288886
2,7,3,5,9,1,7,8,6,7,0345391837
6,10,9,3,0,2,6,10,10,6,0312966814
10,2,0,9,8,5,6,0,0,3,0399141065
6,10,10,7,9,8,0,3,3,2,0671701363
6,0,8,7,1,1,7,10,0,6,0842329242
8,2,6,5,6,6,9,0,2,9,0425168298
0,4,2,0,1,9,4,10,2,5,0345433165
8,5,1,1,7,10,7,5,9,6,0374525102
0,8,4,8,1,7,6,10,3,2,0446357448
3,3,9,9,7,3,4,1,3,6,0671689746
2,0,7,7,5,6,9,10,1,4,0439104661
6,8,0,2,5,6,5,0,3,5,0553347756
7,9,3,6,10,2,7,0,3,7,0515110396
9,3,1,1,3,3,1,6,5,10,0385729332
2,7,7,0,2,4,1,4,10,9,0385333005
2,8,10,0,3,9,5,8,2,2,0345428919
4,6,4,10,7,4,6,5,9,1,0345448995
2,10,10,3,4,8,5,0,2,6,0140449132
7,6,4,9,7,8,6,10,8,0,0440220793
8,2,5,7,2,3,6,6,3,8,0425146413
2,7,7,3,6,3,0,0,0,1,8173711461
5,9,10,4,10,1,7,8,6,8,0140622160
3,6,4,4,2,8,9,4,5,2,060303294X
9,6,8,8,9,9,4,6,2,5,0345333926
7,7,1,5,6,6,2,8,1,10,0609800140
2,10,1,10,8,3,1,2,3,9,0553050044
5,4,2,9,7,7,6,2,0,4,0679731725
0,5,10,6,4,3,1,4,8,3,0842332340
1,5,7,1,8,6,1,10,4,4,155166884X
6,4,10,5,8,2,2,7,9,5,0156790157
9,2,1,1,1,4,4,0,1,1,0064407691
3,6,2,4,10,8,4,8,0,8,0385314698
4,7,4,5,7,1,2,10,8,4,0786866020
4,8,9,2,3,6,1,7,4,0,0345440048
2,8,4,7,0,6,6,7,2,0,0345376579
10,8,0,10,5,8,1,3,1,3,8420483532
1,0,10,2,7,4,3,4,5,5,0679457526
4,10,5,8,4,5,3,2,5,10,006103066X
10,4,3,4,6,0,0,10,0,1,0440207770
8,4,8,4,6,5,1,2,4,3,0440228352
10,5,7,7,2,3,0,1,8,9,0671007610
9,1,5,6,5,7,8,7,4,7,0590483501
9,9,8,7,1,1,2,6,8,7,0446353957
8,5,0,3,5,5,7,0,10,1,0373835922
1,5,10,6,1,4,5,3,0,2,0399140751
9,8,5,1,8,3,10,7,9,6,0312993536
10,2,7,3,1,10,4,0,7,7,0449908593
2,0,3,8,8,0,10,6,5,6,0345410033
6,7,7,9,10,1,3,3,10,9,0345353617
7,2,2,1,0,7,8,8,10,7,0312992327
4,0,8,5,6,7,4,5,6,6,0312872836
1,10,0,7,4,9,1,2,5,9,0140074317
5,7,4,4,6,9,4,8,5,6,0446603422
7,4,10,3,7,9,8,0,2,3,0399141464
6,5,9,9,10,0,3,5,2,1,0425177068
1,9,3,0,9,1,9,1,3,3,0061020575
0,6,6,9,10,9,9,0,10,7,0451452682
9,6,6,10,5,3,10,7,1,6,0451211480
2,2,6,2,4,7,3,6,6,1,0743245520
7,9,9,8,5,4,0,0,8,3,0898796342
0,10,9,2,5,10,10,7,9,1,0425194515
7,0,10,1,7,6,4,9,1,8,0060198303
4,7,3,8,9,6,1,2,1,4,0393951693
1,4,8,1,8,6,6,4,7,6,0399144714
5,1,5,1,0,8,4,9,9,3,0440343194
10,7,4,6,2,7,7,2,8,7,067082982X
0,7,10,3,5,9,8,4,6,0,0842329269
8,5,10,3,5,4,2,6,2,1,3404921178
3,6,4,8,9,6,8,8,1,0,0373484895
10,3,3,1,2,2,4,0,8,7,0451524497
7,2,1,0,5,9,0,10,4,8,0393322157
10,8,3,6,10,6,3,4,10,8,0449205878
6,6,9,6,8,4,5,2,0,10,0451211561
1,7,0,9,6,4,5,7,3,5,0312265859
10,2,6,1,7,6,7,1,2,3,0425165701
8,4,5,0,3,3,9,7,7,9,0399148779
5,7,8,4,0,0,1,1,4,6,0671542141
6,3,3,10,9,2,10,1,2,7,0525945768
0,3,6,4,1,0,5,4,2,10,0425148297
10,10,8,2,1,4,8,7,5,2,0451207947
5,4,0,4,6,8,0,2,7,5,1551660504
4,9,1,2,1,0,6,2,6,6,0060094397
7,0,4,9,8,10,6,0,7,2,0312983417
3,3,9,7,0,7,8,8,4,3,0440229081
