ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0140092501,Chaos: Making a New Science,James Gleick,1988,Penguin Books
0399133143,The Tommyknockers,Stephen King,1987,Putnam Pub Group
0425133516,The Hunt for Red October (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group
0373708300,"Wrong Bride  (By The Year 2000:  Revenge) (Harlequin Superromance, 830)",Caroline Arnold,1999,Harlequin
0373079621,"The Admiral's Bride (Silhouette Intimate Moments, 962)",Suzanne Brockmann,1999,Silhouette
0373196636,The Knight's Kiss,Nicole Burnham,2003,Silhouette
0373706901,"Baby Contract (9 Months Later) (Harlequin Superromance, No 690)",Lynn Erickson,1996,Harlequin
0373259840,"What's Your Pleasure?  (Heat) (Harlequin Temptation, No. 884)",Julie Elizabeth Leto,2002,Harlequin
0553285947,Surrender,Amanda Quick,1990,Bantam
0345447867,The Apprentice,Tess Gerritsen,2003,Ballantine Books
038075620X,Night Fire,Catherine Coulter,1989,Avon
0373121709,"All Night Long (Harlequin Presents, 2170)",Anne Mather,2001,Harlequin
0440213290,The Copper Beech,Maeve Binchy,1993,Dell
0300096860,One World: The Ethics of Globalization,Peter Singer,2002,Yale University Press
0425104338,Stephen King's Danse Macabre,Stephen King,1997,Berkley Publishing Group
0394743644,Sleeping on the Wing : An Anthology of Modern Poetry with Essays on Reading and Writing,KENNETH KOCH,1982,Vintage
0380713810,Made in America,Bill Bryson,1996,Perennial
0140135154,Ways of Seeing,John Berger,1995,Penguin Books
0385722192,Lullaby: A Novel,Chuck Palahniuk,2003,Anchor Books/Doubleday
0743455967,On Writing,Stephen King,2002,Pocket
0345333152,The Straight Dope: A Compendium of Human Knowledge,Cecil Adams,1986,Ballantine Books
0953309819,The Resourceful English Teacher,Jonathan Chandler,1999,Delta Publishing
0062513982,By the River Piedra I Sat Down and Wept,Paulo Coelho,1996,HarperSanFrancisco
0060191988,A Night Without Armor : Poems,Jewel,1998,HarperCollins
0886775639,"Winds of Change (The Mage Winds, Book 2)",Mercedes Lackey,1994,Daw Books
0312921098,Treason,Orson Scott Card,1990,St Martins Pr (Mm)
0812533313,The Worthing Saga,Orson Scott Card,1992,Tor Books
0812532635,The Ships of Earth : Homecoming: Volume 3 (Homecoming Saga),Orson Scott Card,1995,Tor Science Fiction
0451459423,The House of Gaian,Anne Bishop,2003,Roc
0451458990,Shadows and Light,Anne Bishop,2002,Roc
0375815260,Charlie and the Chocolate Factory,ROALD DAHL,2001,Knopf Books for Young Readers
0060248025,Falling Up,Shel Silverstein,1996,HarperCollins
0515136379,Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books
0515136530,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003,Jove Pubns
0553288202,The Fall of Hyperion,Dan Simmons,1991,Bantam
0671524313,The Girlfriends' Guide to Pregnancy,Vicki Iovine,1995,Pocket
051513628X,Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003,Jove Books
0060950536,Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control and Pregnancy Achievement,Toni Weschler,1995,Perennial
0688117619,Mayo Clinic Complete Book of Pregnancy &amp; Baby's First Year,Mayo Clinic,1994,William Morrow
038071907X,Nothing But The Truth: A Documentary Novel,Avi,1993,HarperTrophy
0394553284,One Knee Equals Two Feet (And Everything Else You Need to Know About Football),John Madden,1986,Villard Books
0553073273,"Heir to the Empire (Star Wars, Vol. 1)",Timothy Zahn,1991,Bantam
0886774829,"Stronghold (Dragon Star, Book 1)",Melanie Rawn,1994,Daw Books
0671693816,Wifey,Judy Blume,1989,Pocket
0446890359,Without Feathers,Woody Allen,1981,Warner Books (Mm)
0892131144,Coming Back: The Science of Reincarnation,A. C. Bhaktivedanta Swami Prabhupada,1982,Bhaktivedanta Book Trust
0553287737,The Bourne Ultimatum,Robert Ludlum,1991,Bantam Books
0345368959,The Dolphins of Pern (Dragonriders of Pern (Paperback)),Anne McCaffrey,1995,Del Rey Books
0345315642,The Catch Trap,Marion Zimmer Bradley,1984,Ballantine Books
0345303067,2010: Odyssey Two,Arthur C. Clarke,1984,Del Rey Books
0061098353,Twice Dying,Neil McMahon,2000,HarperTorch
0030632366,Outrageous Acts and Everyday Rebellions,Gloria Steinem,1987,Smithmark Pub
034528643X,Alchemy and Academe,Anne McCaffrey,1979,Del Rey Books
0345275497,Flight of the Horse,Niven,1977,Not Avail
0451171845,Precious Victims,Don W. Weber,1991,New Amer Library
0671797050,FIRST WIVES CLUB,Olivia Goldsmith,1993,Pocket
0425054578,Bless This House,Evan H. Rhodes,1982,Berkley Publishing Group
0441003435,The Adept (Adept),Katherine Kurtz,2003,Ace Books
0345361407,Greenmagic,Crawford Kilian,1992,Del Rey Books
0380872625,Romancing the Stone,Catherine Lanigan,1984,Avon Books
0671468200,MY SWEET AUDRINA,V.C. Andrews,1983,Pocket
0345423615,The Silver Wolf,ALICE BORCHARDT,1999,Ballantine Books
0451205073,Last Breath,Michael Prescott,2001,Signet Book
006109918X,Talking God (Jim Chee Novels),Tony Hillerman,1991,HarperTorch
0553262009,"The Caverns of Mornas (Escape from the Kingdom of Frome, No 3)",Richard Brightfield,1987,Bantam Books
0385337116,The Rule of Four,Ian Caldwell,2004,Dial Books
0451160312,I Never Promised You a Rose Garden,Joanne Greenberg,1984,Signet Book
0937295043,Meet Samantha: An American Girl (American Girls Collection (Paper)),Susan S. Adler,1986,Pleasant Company Publications
0970760094,Mendel's Child,Robert Rooney,2002,Bellwether Publishing
0440213029,The Lilac Bus: Stories,Maeve Binchy,1992,Dell
0440223016,A Long Fatal Love Chase,Louisa May Alcott,1997,Dell
0786867752,"When You Come to a Fork in the Road, Take It! Inspiration and Wisdom from One of Baseball's Greatest Heroes",Yogi Berra,2001,Hyperion
0671657135,SOCIETY OF MIND,Marvin Minsky,1988,Simon &amp; Schuster
0898157803,Menopaws: The Silent Meow,Martha Sacks,1995,Ten Speed Press
0140279288,Thirty-nothing,Lisa Jewell,2004,Penguin Books Ltd
155661456X,Too Long a Stranger (Women of the West),Janette Oke,1994,Bethany House
0806961740,The Little Giant Book of Optical Illusions,Keith Kay,1997,Sterling Publishing
0800786084,In His Steps,Charles M. Sheldon,1993,Revell
0140094385,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,1986,Penguin Books
0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
0140430113,Jane Eyre (Penguin Classics),Charlotte Bronte,1988,Penguin USA
0156329301,The Four Loves,C. S. Lewis,1971,Harvest Books
0452282195,The Bluest Eye,Toni Morrison,2000,Plume Books
0060929979,"Inventing the Abbotts and Other Stories (Harper &amp; Row, 1987)",Sue Miller,1999,Perennial
0962197963,Portals in a Northern Sky,Charles D. Hayes,2003,Autodidactic Press
0061054887,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,1994,Eos
039597707X,3  Bowls : Vegetarian Recipes from an American Zen Buddhist Monastery,Seppo Ed Farrey,2000,Houghton Mifflin
0380726254,Serpent's Tooth : A Peter Decker/Rina Lazarus Novel (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1998,Avon
0781805899,Beginners Welsh (Beginner's (Foreign Language)),Heini Gruffudd,1998,Hippocrene Books
0425171493,Framed in Lace (Needlecraft Mysteries),Monica Ferris,1999,Prime Crime
0864426488,Lonely Planet Europe on a Shoestring (Europe on a Shoestring),Scott McNeely,1999,Lonely Planet
0140441077,The Prince (Penguin Classics),Niccolo Machiavelli,1961,Penguin Books
006064205X,The Awakened One,Bhagwan S. Rajneesh,1982,Harpercollins
0486266907,Ethan Frome (Dover Thrift Editions),Edith Wharton,1991,Dover Publications
067975833X,Confederates in the Attic : Dispatches from the Unfinished Civil War (Vintage Departures),TONY HORWITZ,1999,Vintage
0446343455,Tourist Season,Carl Hiaasen,1987,Warner Books
0453010105,Weight Watchers Quick Start Program Cookbook: Including the Full Exchange Plan,Jean Nidetch,1984,New Amer Library
0345335651,"Queen of Sorcery (The Belgariad, Book 2)",David Eddings,1989,Del Rey Books
0345355237,The Surveillance,Julian May,1988,Del Rey Books
3453150244,"Diana-TaschenbÃ?Â¼cher, Nr.16, Das franzÃ?Â¶sische Testament",Andrei Makine,1999,Heyne
0441004385,Winter Rose,Patricia A. McKillip,1997,Ace Books
0345320115,Garfield Sits Around the House (Garfield (Numbered Paperback)),JIM DAVIS,1984,Ballantine Books
1569316961,"Ceres: Celestial Legend, Vol. 1",Yu Watase,2002,VIZ LLC
0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
0679886370,Stargirl,JERRY SPINELLI,2000,Knopf Books for Young Readers
0374336644,Joey Pigza Swallowed the Key (Joey Pigza Books (Hardcover)),Jack Gantos,1998,Farrar Straus Giroux
0439053870,Civil War Ghosts,Daniel Cohen,1999,Scholastic
0451209028,Coffee &amp; Kung Fu,Karen Brichoux,2003,New American Library
0385416679,A Southern Belle Primer: Or Why Princess Margaret Will Never Be a Kappa Kappa Gamma,Maryln Schwartz,1991,Main Street Books
0380709163,Ramona and Her Father (Avon Camelot Books (Paperback)),Beverly Cleary,1999,HarperTrophy
0061093890,Fashionably Late,Olivia Goldsmith,1999,HarperTorch
0345435796,The First Horseman,John Case,1999,Ballantine Books
0345450892,The Lake of Dead Languages (Ballantine Reader's Circle),Carol Goodman,2003,Ballantine Books
0373250142,Dating Without Novocaine (Red Dress Ink),Lisa Cach,2002,Red Dress Ink
0373250150,Confessions of an Ex-Girlfriend,Lynda Curnyn,2002,Red Dress Ink
0060277491,Violet &amp; Claire,Francesca Lia Block,1999,Joanna Cotler
044022313X,Black Light,Stephen Hunter,1997,Island
0373250169,L. A. Woman (Red Dress Ink),Cathy Yardley,2002,Red Dress Ink
0060513888,Important Things That Don't Matter,David Amsden,2003,William Morrow
0060090367,Watermelon,Marian Keyes,2002,Perennial
0688173896,The Scandalous Summer of Sissy Leblanc: A Novel,Loraine Despres,2001,William Morrow &amp; Company
0380720787,My Life As a Whale,Dyan Sheldon,1993,Harpercollins
0345433319,Midnight Voices,JOHN SAUL,2002,Ballantine Books
1551668394,Wedding Party,Robyn Carr,2001,Mira
0802137008,Pure,Rebbecca Ray,2000,Grove Press
0689821395,A Wolf at the Door : and Other Retold Fairy Tales (Aladdin Fiction),Ellen Datlow,2001,Aladdin
0385319037,Animal Husbandry,Laura Zigman,2001,Delta
0140282033,Chocolat,Joanne Harris,2000,Penguin Books
0156010887,The Blue Bedspread,Raj Kamal Jha,2001,Harvest Books
1567312500,Uppity Women of Medieval Times,Vicki Leon,1997,Fine Communications
0060294698,All-American Girl,Meg Cabot,2002,HarperCollins
0345356365,The Wishsong of Shannara,Terry Brooks,1992,Del Rey Books
1558746099,"Chicken Soup for the Kid's Soul : 101 Stories of Courage, Hope and Laughter (Chicken Soup for the Soul (Paperback Health Communications))",Jack Canfield,1998,HCI
0452266637,Beauty's Release,A. N. Roquelaure,1985,Plume Books
006109028X,Sharpe's Devil,Bernard Cornwell,1993,HarperTorch
006447187X,Girl Goddess #9 : Nine Stories,Francesca Lia Block,1998,HarperTrophy
0375760628,Slave to Fashion : A Novel,REBECCA CAMPBELL,2002,Villard
0312187106,The Diary of Mattie Spenser,Sandra Dallas,1998,St. Martin's Griffin
038072152X,"Hello Darling, Are You Working?",Rupert Everett,1998,Perennial
006621016X,Filthy Rich,Dorothy Samuels,2001,William Morrow
0060392827,Confessions of an Ugly Stepsister,Gregory Maguire,1999,ReganBooks
0553213156,Anne of Ingleside (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics
014027927X,Ralph's Party,Lisa Jewell,1999,Penguin Books Ltd
0060976497,Ten Stupid Things Women Do to Mess Up Their Lives,Laura C. Schlessinger,1995,Perennial
0767906543,Mr. Commitment,MIKE GAYLE,2002,Broadway
0786884207,Don't Sweat the Small Stuff in Love,Richard Carlson,2000,Hyperion Press
0375506187,Milk Glass Moon : A Big Stone Gap Novel (Big Stone Gap Novels (Hardcover)),ADRIANA TRIGIANI,2002,Random House
0380796104,Lucy Sullivan Is Getting Married,Marian Keyes,2000,Avon
0399141855,To the Hilt,Dick Francis,1996,Putnam Pub Group
0064460932,Joyful Noise (rpkg) : Poems for Two Voices,Paul Fleischman,1992,HarperTrophy
034531221X,Lincoln,Gore Vidal,1985,Ballantine Books
0804108293,Crazy Ladies,Michael Lee West,1993,Ivy Books
0451204123,The Association,Bentley Little,2001,Signet Book
0152164502,The Coffin Quilt: The Feud between the Hatfields and the McCoys,Ann Rinaldi,2001,Gulliver Books Paperbacks
0440228611,The Last Silk Dress,Ann Rinaldi,1999,Laurel-Leaf Books
0064402509,The Family Under the Bridge,Natalie Savage Carlson,1989,HarperTrophy
0440416248,Frozen Summer,Mary Jane Auch,2000,Yearling Books
0140386742,Jip: His Story,Katherine Paterson,1998,Puffin Books
0439099048,Katarina: A Novel,Kathryn Winter,1999,Scholastic
0373483503,Macgregor Brides (Macgregors),Nora Roberts,1997,Silhouette
0812544420,Summer at the Lake (Mysteries &amp; Horror),Andrew M. Greeley,1998,Forge
0312033001,Can My Bridesmaids Wear Black?-- And 325 Other Most-Asked Etiquette Questions,Marjabelle Young Stewart,1989,St Martins Pr
0373270976,"Night Shield (Intimate Moments, 1027)",Nora Roberts,2000,Silhouette
0446607207,Tell Me Your Dreams,Sidney Sheldon,1999,Warner Vision
0439049989,Captain Underpants and the Perilous Plot of Professor Poopypants: The Fourth Epic Novel (Captain Underpants (Paperback)),Dav Pilkey,2000,Scholastic
0767903390,Chi Kung: The Way of Healing,Kam Chuen Lam,1999,Broadway Books
0679763384,La Sonrisa Etrusca,Jose Luis Sampedro,1985,Random House Inc
0060951311,Cuentos de Eva Luna,Isabel Allende,1995,Rayo
1878448900,Girl in Hyacinth Blue,Susan Vreeland,1999,MacAdam/Cage Publishing
8401321786,Contacto/Contact,Carl Sagan,1986,Lectorum Pubns
015201800X,"The Pearl of the Soul of the World: The Darkangel Trilogy, Volume III",Meredith Ann Pierce,1999,Magic Carpet Books
0451456599,Mother Grimm,Catherine Wells,1997,Roc
0394534433,"Vampire Lestat (Chronicles of the Vampires, 2nd Book)",ANNE RICE,1985,Knopf
0553573314,The Diamond Age,Neal Stephenson,1996,Bantam
0553573861,Zodiac: The Eco-Thriller,Neal Stephenson,1995,Bantam
0802131867,Subterraneans,Jack Kerouac,1989,Grove Press
0679414614,How We Die: Reflections on Life's Final Chapter,Sherwin B. Nuland,1994,Alfred A. Knopf
0375500510,Black and Blue : A Novel,ANNA QUINDLEN,1998,Random House
0425184757,The Drowning Season,Alice Hoffman,2002,Berkley Publishing Group
0679723056,What We Talk About When We Talk About Love: Stories (Vintage Contemporaries),Raymond Carver,1989,Vintage Books USA
0345389247,Crazy in Alabama,Mark Childress,1994,Ballantine Books
0312243111,Love in the Ruins,Walker Percy,1999,Picador USA
0812548051,"Wizard's First Rule (Sword of Truth, Book 1)",Terry Goodkind,1997,Tor Fantasy
0140059245,The book of laughter and forgetting (Writers from the other Europe),Milan Kundera,1981,Penguin Books
0679442405,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,1999,Random House Inc
0373288816,"Magician'S Quest (Harlequin Historical, No 281)",Claire Delacroix,1995,Harlequin
0373076223,"Irresistible Man (Silhouette Intimate Moments, No 622)",Kylie Brant,1995,Silhouette
0373077289,"Leader Of The Pack (Trinity Street West) (Silhouette Intimate Moments, No 728)",Nancy Davis,1996,Silhouette
0373898339,That Carolina Summer,Janet Dailey,1987,Harlequin
0373169191,"The Blacksheep's Arranged Marriage (Billion-Dollar Braddocks) (Harlequin American Romance Series, No. 919)",Karen Toller Whittenburg,2002,Harlequin
0312956762,Die Hard: With a Vengeance - A Novel, D. Chiel,1995,St Martins Pr
0373076746,"Morning Side Of Dawn (Silhouette Intimate Moments, No 674)",Justine Davis,1995,Silhouette
0440211352,Seduced,Virginia Henley,1994,Dell Publishing Company
0345435419,Shadow Hunter (Star Wars: Darth Maul),Michael Reaves,2001,Del Rey Books
0373105401,Not Far Enough (Harlequin Presents),Margaret Pargeter,1982,Harlequin Books
0316488356,"The Fortune Telling Book: Reading Crystal Balls, Tea Leaves, Playing Cards, and Everyday Omens of Love and Luck",Gillian Kemp,2000,"Little, Brown"
0446400580,The Potter's Field: The Seventeenth Chronicle of Brother Cadfael,Ellis Peters,1991,Warner Books
0345329457,At the Mountains of Madness and Other Tales,H. P. Lovecraft,1990,Del Rey Books
0345384210,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H. P. Lovecraft,1995,Del Rey Books
0786706473,Vintage Science Fiction,Peter Haining,1999,Carroll &amp; Graf Publishers
087542127X,The Truth About Witchcraft Today (Llewellyn's New Age),Scott Cunningham,1988,Llewellyn Publications
0373484429,Reflections And Dreams,Nora Roberts,2001,Silhouette
0345409876,Women Who Run with the Wolves,CLARISSA PINKOLA PHD ESTES,1996,Ballantine Books
0679763309,An Unquiet Mind,Kay R. Jamison,1997,Vintage Books USA
0441007813,Obsidian Butterfly,Laurell K. Hamilton,2000,Ace Books
0452281431,Beauty's Punishment (Sleeping Beauty),A.N. Roquelaure,1984,Plume Books
0449215024,Sacred and Profane (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1997,Fawcett Books
0425155722,The Fool's Run,John Sandford,2004,Berkley Publishing Group
0425189031,Portrait in Death,Nora Roberts,2003,Berkley Publishing Group
0345349520,Vanity Dies Hard,Ruth Rendell,1987,Fawcett Books
0743442245,The Road to Perdition,Max Allan Collins,2002,Pocket
0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
0385319002,Animal Husbandry,Laura Zigman,1998,Bantam Dell Pub Group
0330482076,Third Time Lucky (The Princess Diaries),Meg Cabot,2001,Pan Macmillan
0451458478,Pride of Kings,Judith Tarr,2001,Roc
0767903382,Tender at the Bone: Growing Up at the Table,Ruth Reichl,1999,Broadway Books
0140283641,Kits Law,Donna Morrissey,0,Penguin Putnam~trade
0140277439,Home From the Vinyl Cafe,Stuart Mclean,0,Penguin Putnam~trade
0375724834,Motherless Brooklyn,JONATHAN LETHEM,2000,Vintage
0679724362,The Road from Coorain,Jill Ker Conway,1990,Vintage Books USA
0345419030,Tender: A Novel,Mark Childress,1998,Ballantine Books
0671726730,To Dance With the White Dog,Terry Kay,1991,Washington Square Press
042519485X,Undead and Unwed (Berkley Sensation),Mary Janice Davidson,2004,Berkley Publishing Group
0380778726,"Ruby Slippers, Golden Tears",Ellen Datlow,1996,Eos
0452282276,Round Robin: An Elm Creek Quilts Novel (Elm Creek Quilters Novels),Jennifer Chiaverini,2001,Plume Books
006440031X,The First Four Years (Little House),Laura Ingalls Wilder,1953,HarperTrophy
0380725231,Coyote Blue,Christopher Moore,1995,Perennial
0380800780,Legs Benedict: : A Bed-And-breakfast Mystery (Bed-And-Breakfast Mysteries (Paperback)),Mary Daheim,1999,Avon
0553562835,Sam Walton: Made in America : My Story,Sam Walton,1993,Bantam Books
0061096105,Rough Justice,Lisa Scottoline,1998,HarperTorch
0807083054,Kindred (Black Women Writers Series),Octavia Butler,1988,Beacon Press
0345352491,How to Be a Financially Secure Woman,Mary Elizabeth Schlayer,1989,Ballantine Books
0809117541,Hope for the Flowers,Trina Paulus,1973,Paulist Press
0440404193,"Are You There God?  It's Me, Margaret",JUDY BLUME,1971,Yearling
0671521500,Everlasting Love,Linda Howard,1995,Pocket
0345422473,Gods and Generals,Jeff Shaara,1998,Ballantine Books
0345330455,Garfield's Halloween Adventure (Formerly Titled Garfield in Disguise),Jim Davis,1985,Ballantine Books
0811801802,Sabine's Notebook: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Continues,Nick Bantock,1992,Chronicle Books
038078047X,"20,001 Names for Baby",Carol McD. Wallace,1995,Perennial Currents
0345377702,Me: Stories of My Life,Katharine Hepburn,1992,Ballantine Books
0060955597,What To Cook When You Think There's Nothing in the House To Eat : More Than 175 Easy Recipes And Meal Ideas,Arthur Schwartz,2000,Ecco
0060977744,Crazy Ladies : A Novel,Michael Lee West,2000,Perennial
014050639X,Each Peach Pear Plum (Picture Puffins),Janet Ahlberg,1986,Puffin Books
0590458981,The Glory Field,Walter Dean Myers,1996,Scholastic
0140177388,Cannery Row,John Steinbeck,1993,Penguin Books
0671563076,Gump &amp; Co.,Winston Groom,1995,Holiday House
0441359175,I Will Fear No Evil,Robert A. Heinlein,1990,Ace Books
0060256745,A Light in the Attic,Shel Silverstein,1981,HarperCollins Publishers
0374423075,Finn Family Moomintroll,Tove Jansson,1990,"Farrar, Straus and Giroux (BYR)"
0802115454,N.P.: A Novel,Banana Yoshimoto,1994,Pub Group West
0140148450,Dear Dad: Letters from an Adult Child,Louie Anderson,1991,Penguin Books
0020446500,Z for Zachariah,Robert C. O'Brien,1987,Simon Pulse
0609601032,Douglas Adams's Starship Titanic,Terry Jones,1997,Random House Inc
0060924926,"Further Tales of the City (Tales of the City Series, V. 3)",Armistead Maupin,1994,Perennial
0316460842,"Just Plain Folks: Original Tales of Living, Loving, Longing, and Learning, As Told by a Perfectly Ordinary, Quite Commonly Sensible, and Absolutely Awe-Inspiring colore",Lorraine Johnson-Coleman,1998,Little Brown &amp; Co
0590213113,P.S. Longer Letter Later,Paula Danziger,1999,Scholastic
0064402053,"Sarah, Plain and Tall (Sarah, Plain and Tall)",Patricia MacLachlan,2004,HarperTrophy
0140328696,Charlie and the Chocolate Factory,Roald Dahl,1994,Puffin Books
0451196856,The Most Wanted,Jacquelyn Mitchard,1999,Signet Book
0684853779,Bobos in Paradise: The New Upper Class and How They Got There [BARGAIN PRICE],David Brooks,2000,Simon &amp; Schuster
0060953225,More Mirth of a Nation : The Best Contemporary Humor (James Thurber Book of American Humor),Michael J. Rosen,2002,Perennial Currents
0440226198,The Gift of Fear,GAVIN DE BECKER,1998,Dell
0375502025,The Greatest Generation,TOM BROKAW,1998,Random House
0307001342,Little Red Riding Hood (Little Golden Book),Golden Books Little,1920,Golden Books
0140274782,Wobegon Boy,Garrison Keillor,1998,Penguin Books
0307960374,Seven Little Postmen (Little Golden Book),Margaret Wise Brown,2002,Golden Books
0312954468,River God,Wilbur A. Smith,1995,St. Martin's Press
0060167688,After All These Years,Susan Isaacs,1993,Harpercollins
0066211662,"The Bitch in the House : 26 Women Tell the Truth About Sex, Solitude, Work, Motherhood, and Marriage",Cathi Hanauer,2002,William Morrow
0446610798,Right as Rain,George P. Pelecanos,2002,Warner Books
0380711877,Katwalk (Kat Colorado Mysteries),Karen Kijewski,1990,Avon
0345375351,Show of Evil,William Diehl,1995,Ballantine Books
0345404785,Dark Lady,Richard North Patterson,2000,Ballantine Books
0399139710,Acceptable Risk,Robin Cook,1995,Putnam Publishing Group
0061009881,Hostile Witness,William Lashner,1996,ReganBooks
0553575945,Requiem for a Glass Heart,David Lindsey,1997,Bantam Books
0446667900,A Darkness More Than Night,Michael Connelly,2002,Warner Vision
0446527912,Animosity : A Novel,David Lindsey,2001,Warner Books
0740721984,Fuzzy Logic Get Fuzzy 2,Darby Conley,2002,Andrews McMeel Publishing
0446611085,Suzanne's Diary for Nicholas,James Patterson,2003,Warner Books
0380842939,Sacajawea (Lewis &amp; Clark Expedition),Anna L. Waldo,1984,Avon
0451197399,The Ballad of Frankie Silver,Sharyn McCrumb,1999,Signet Book
0670031909,Lost in a Good Book: A Thursday Next Novel,Jasper Fforde,2003,Viking Books
0380978415,"Fluke : Or, I Know Why the Winged Whale Sings",Christopher Moore,2003,William Morrow &amp; Company
0451179285,The Stand: The Complete &amp; Uncut Edition,Stephen King,1994,New Amer Library
0380780860,Murder on a Girls' Night Out: A Southern Sisters Mystery,Anne George,1996,Avon
0743243412,Wacky Chicks : Life Lessons from Fearlessly Inappropriate and Fabulously Eccentric Women,Simon Doonan,2003,Simon &amp; Schuster
0451182979,"Parsley, Sage, Rosemary, and Crime: A Pennsylvania Dutch Mystery With Recipes (Pennsylvania Dutch Mysteries with Recipes (Paperback))",Tamar Myers,1997,Signet Book
0394735307,The Tale of Genji,Murasaki Shikibu,1978,Alfred A. Knopf
0312282060,Murphy's Law (A Mitch Mitchell Mystery),Rhys Bowen,2001,St. Martin's Minotaur
0971263906,Saint Nick,Gary Ogden Harper,2001,Prairie Valley Films-Literary Division
0394747232,Maus a Survivors Tale: My Father Bleeds History,Art Spiegelman,1986,Pantheon Books
0061092002,Galilee,Clive Barker,1999,HarperTorch
0066214440,Enemy Women: A Novel,Paulette Jiles,2002,William Morrow &amp; Company
0380978407,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2002,William Morrow &amp; Company
067164257X,GARDEN OF SHADOWS (Dollanger Saga (Paperback)),Ariel Jennifer Jones,1987,Pocket
0440202558,The End of Summer,Rosamunde Pilcher,1995,Dell Publishing Company
0425135020,The Empress File,John Sandford,2001,Berkley Publishing Group
0553107240,Sticks &amp; Scones,Diane Mott Davidson,2001,Bantam Books
0684871262,Speaking In Tongues : A Novel,Jeffery Deaver,2000,Simon &amp; Schuster
0451188489,A Maiden's Grave,Jeff Deaver,1996,Signet Book
0070064512,"If Life Is a Bowl of Cherries, What Am I Doing in the Pits?",Erma Bombeck,1978,McGraw-Hill
1558744592,A 4th Course of Chicken Soup for the Soul: 101 More Stories to Open the Heart and Rekindle the Spirit,Jack Canfield,1997,Health Communications
0425186326,Family Album,Patricia Kay,2002,Berkley Publishing Group
0440224594,The Return Journey,MAEVE BINCHY,1999,Dell
0060193751,Circle of Three,Patricia Gaffney,2000,HarperCollins Publishers
0890876517,Creative Companion: How to Free Your Creative Spirit,Sark,1991,Celestial Arts
0380766558,The Elusive Flame,Kathleen E. Woodiwiss,1998,Harpercollins
0345371631,Shadow Leader,Tara K. Harper,1991,Del Rey Books
0553569155,Seinlanguage,Jerry Seinfeld,1995,Bantam Books
0446600660,Strip Tease,Carl Hiaasen,1994,Warner Books
1573220485,The Beach,Alex Garland,1997,Putnam Pub Group
0385491034,The Robber Bride,MARGARET ATWOOD,1998,Anchor
0312194404,Bachelor Brothers' Bed &amp; Breakfast Pillow Book : They're back!,Bill Richardson,1998,St. Martin's Griffin
0152022341,Sacajawea,Joseph Bruchac,2000,Silver Whistle Books
0374153248,Family Man,Calvin Trillin,1998,Farrar Straus &amp; Giroux
0877017883,Griffin &amp; Sabine: An Extraordinary Correspondence,Nick Bantock,1991,Chronicle Books
1558748865,"Chicken Soup for the Gardener's Soul, 101 Stories to Sow Seeds of Love, Hope and Laughter (Chicken Soup for the Soul)",Jack Canfield,2001,Health Communications
0486200701,Book of Tea,K. Okakura,1966,Dover Publications
0380730200,The Giant's House : A Romance,Elizabeth McCracken,1997,Perennial
0375750525,The Vagina Monologues,Eve Ensler,1998,Villard Books
0140133488,Crossing to Safety,Wallace Earle Stegner,1991,Penguin Books
0590428837,Sixth Grade Can Really Kill You,Barthe DeClements,1991,Viking Press
0836218515,Prehistory of the Far Side,Gary Larson,1989,Andrews McMeel Publishing
0373243790,Considering Kate (The Stanislaskis) (Silhouette Special Edition),Nora Roberts,2001,Silhouette
0671892673,PLACE WHERE THE SEA REMEMBERS,Sandra Benitez,1995,Touchstone
0330294008,Less Than Zero,Bret Easton Ellis,0,Pan Books Ltd
0399145672,Big Trouble,Dave Barry,1999,Putnam Publishing Group
0385499345,The Lexus and the Olive Tree: Understanding Globalization,Thomas L. Friedman,2000,Anchor Books/Doubleday
0679734589,The Rachel Papers,MARTIN AMIS,1992,Vintage
0452279070,Ragtime,E. L. Doctorow,1997,Plume Books
0060198133,Five Quarters of the Orange,Joanne Harris,2001,William Morrow &amp; Company
0452281202,The Evolution of Jane,Cathleen Schine,1999,Plume Books
034536676X,The World According to Garp,John Irving,1994,Ballantine Books
